Part Name,Mount_Type,Component_Kind,Reference Designator,Value,Option,CDB Name,Specification,X,Y
partName,Mount_Type,Component_Kind,reference,value,option,cdbName,TECHNICAL_SPECIFICATION,X,Y
WM-SMD-R1608,,Resistor,R1,10K,,WM-SMD-R1608,,A,1
WM-SMD-R1608,,Resistor,R2,10,,WM-SMD-R1608,,B,5
WM-SMD-R1608,,Resistor,R3,20R,,WM-SMD-R1608,,A,2
WM-SMD-R1608,,Resistor,R4,20R,,WM-SMD-R1608,,A,2
WM-SMD-R1608,,Resistor,R5,4.7k,,WM-SMD-R1608,,B,2
WM-SMD-R1608,,Resistor,R6,31.25K,,WM-SMD-R1608,,C,5
WM-SMD-R1608,,Resistor,R7,10K,,WM-SMD-R1608,,C,5
WM-SMD-R1608,,Resistor,R8,4.7k,,WM-SMD-R1608,,B,1
WM-SMD-R1608,,Resistor,R9,4.7k,,WM-SMD-R1608,,C,1
SMD-R2012,,Resistor,R10,330,,SMD-R2012,SMD-R2012,C,5
WM-SMD-R1608,,Resistor,R11,10k,,WM-SMD-R1608,,D,4
WM-SMD-R1608,,Resistor,R12,2.7k,,WM-SMD-R1608,,D,4
WM-SMD-R1608,,Resistor,R13,1k,,WM-SMD-R1608,,C,3
WM-SMD-R1608,,Resistor,R14,1k,,WM-SMD-R1608,,C,3
WM-SMD-R1608,,Resistor,R16,1M,,WM-SMD-R1608,,D,2
SMD-R1608,SMD,Resistor,R21,NC,,SMD-R1608,SMD-R1608,H,4
SMD-R1608,SMD,Resistor,R22,NC,,SMD-R1608,SMD-R1608,H,4
SMD-R1608,SMD,Resistor,R23,1R5,,SMD-R1608,SMD-R1608,H,4
SMD-R1608,SMD,Resistor,R24,1R5,,SMD-R1608,SMD-R1608,H,4
SMD-R1608,SMD,Resistor,R25,1.69k,,SMD-R1608,SMD-R1608,G,4
SMD-R1608,SMD,Resistor,R26,1k,,SMD-R1608,SMD-R1608,F,4
WM-SMD-R1608,,Resistor,R27,4.7k,,WM-SMD-R1608,,E,5
WM-SMD-R1608,,Resistor,R28,4.7k,,WM-SMD-R1608,,E,5
SMD-R3216,SMD,Resistor,R29,10k,,SMD-R3216,SMD-R3216,A,6
SMD-R3216,SMD,Resistor,R30,75k,,SMD-R3216,SMD-R3216,A,6
SMD-R1608,SMD,Resistor,R31,0R,,SMD-R1608,SMD-R1608,E,4
